filename	tile_size	pattern_width	rotations	output_size	ground	attempt_limit	output_periodic	input_periodic	location heuristic	choice heuristic	global constraint	backtracking	attempts	time_start	time_adjacency	adjacency_duration	time solve start	time solve end	solve duration	pattern count	choices	wave	backtracks	propagations	outcome	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	True	6	1627596576.5530102	1627596576.6400893	24.376486778259277	1627596601.016576	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	True	7	1627596576.5530102	1627596576.6400893	24.377487897872925	1627596601.0175772	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	True	8	1627596576.5530102	1627596576.6400893	24.377487897872925	1627596601.0175772	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	True	9	1627596576.5530102	1627596576.6400893	24.377487897872925	1627596601.0175772	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	True	10	1627596576.5530102	1627596576.6400893	24.378488302230835	1627596601.0185776	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	1	1627596601.0185776	1627596601.1056297	0.001001119613647461	1627596601.1066308	None	24.202680587768555	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	2	1627596601.0185776	1627596601.1056297	24.203681707382202	1627596625.3093114	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	3	1627596601.0185776	1627596601.1056297	24.204683303833008	1627596625.310313	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	4	1627596601.0185776	1627596601.1056297	24.204683303833008	1627596625.310313	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	5	1627596601.0185776	1627596601.1056297	24.205683946609497	1627596625.3113136	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	6	1627596601.0185776	1627596601.1056297	24.205683946609497	1627596625.3113136	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	7	1627596601.0185776	1627596601.1056297	24.206685543060303	1627596625.3123152	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	8	1627596601.0185776	1627596601.1056297	24.206685543060303	1627596625.3123152	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	9	1627596601.0185776	1627596601.1056297	24.206685543060303	1627596625.3123152	None	0.0010001659393310547	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	10	1627596601.0185776	1627596601.1056297	24.207685708999634	1627596625.3133154	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	1	1627596625.3133154	1627596625.3993933	0.001001119613647461	1627596625.4003944	None	23.9670193195343	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	2	1627596625.3133154	1627596625.3993933	23.96802043914795	1627596649.3674138	None	0.0010020732879638672	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	3	1627596625.3133154	1627596625.3993933	23.969022512435913	1627596649.3684158	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	4	1627596625.3133154	1627596625.3993933	23.969022512435913	1627596649.3684158	None	0.0010004043579101562	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	5	1627596625.3133154	1627596625.3993933	23.970022916793823	1627596649.3694162	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	6	1627596625.3133154	1627596625.3993933	23.970022916793823	1627596649.3694162	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	7	1627596625.3133154	1627596625.3993933	23.971023559570312	1627596649.3704169	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	8	1627596625.3133154	1627596625.3993933	23.971023559570312	1627596649.3704169	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	9	1627596625.3133154	1627596625.3993933	23.9720242023468	1627596649.3714175	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	10	1627596625.3133154	1627596625.3993933	23.9720242023468	1627596649.3714175	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	1	1627596649.3724184	1627596649.4574962	0.002001523971557617	1627596649.4594977	None	24.270286321640015	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	2	1627596649.3724184	1627596649.4574962	24.272287845611572	1627596673.729784	None	0.0010006427764892578	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	3	1627596649.3724184	1627596649.4574962	24.27328848838806	1627596673.7307847	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	4	1627596649.3724184	1627596649.4574962	24.27328848838806	1627596673.7307847	None	0.0010018348693847656	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	5	1627596649.3724184	1627596649.4574962	24.274290323257446	1627596673.7317865	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	6	1627596649.3724184	1627596649.4574962	24.274290323257446	1627596673.7317865	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	7	1627596649.3724184	1627596649.4574962	24.275290966033936	1627596673.7327871	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	8	1627596649.3724184	1627596649.4574962	24.275290966033936	1627596673.7327871	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	9	1627596649.3724184	1627596649.4574962	24.275290966033936	1627596673.7327871	None	0.001001119613647461	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	allpatterns	False	10	1627596649.3724184	1627596649.4574962	24.276292085647583	1627596673.7337883	None	0.0	13	1200	1200	0	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	1	1627596673.7347891	1627596673.820868	0.0009999275207519531	1627596673.821868	None	24.14928102493286	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	2	1627596673.7347891	1627596673.820868	24.15128207206726	1627596697.97215	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	3	1627596673.7347891	1627596673.820868	24.15128207206726	1627596697.97215	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	4	1627596673.7347891	1627596673.820868	24.152283191680908	1627596697.9731512	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	5	1627596673.7347891	1627596673.820868	24.152283191680908	1627596697.9731512	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	6	1627596673.7347891	1627596673.820868	24.152283191680908	1627596697.9731512	None	0.0010023117065429688	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	7	1627596673.7347891	1627596673.820868	24.15328550338745	1627596697.9741535	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	8	1627596673.7347891	1627596673.820868	24.15328550338745	1627596697.9741535	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	9	1627596673.7347891	1627596673.820868	24.154284954071045	1627596697.975153	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	10	1627596673.7347891	1627596673.820868	24.154284954071045	1627596697.975153	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	1	1627596697.976154	1627596698.0622318	0.0010004043579101562	1627596698.0632322	None	24.311031103134155	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	2	1627596697.976154	1627596698.0622318	24.312031507492065	1627596722.3742633	None	0.001001119613647461	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	3	1627596697.976154	1627596698.0622318	24.313032627105713	1627596722.3752644	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	4	1627596697.976154	1627596698.0622318	24.313032627105713	1627596722.3752644	None	0.0010013580322265625	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	5	1627596697.976154	1627596698.0622318	24.31403398513794	1627596722.3762658	None	0.0	13	1200	1200	1200	2400	contradiction	
Knot	1	2	7	(120, 120)	0	10	True	True	entropy	weighted	None	True	6	1627596697.976154	1627596698.0622318	24.31403398513794	1627596722.3762658	None	0.0	13	1200	1200	1200	2400	contradiction	
